Region;Country;City/station;concentrationPM10;YearPM10;AnnualmeanPM25;Yearpm25;nbLocations;Temporal coverage;Reference;Latitude;Longitude;convertedPM10;convertedPM25;yearMerged;version
AmrHI;United States of America;Winston-Salem, NC;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Worcester, MA;15;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Yakima, WA;17;;10;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;York-Hanover, PA;20;;12;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Youngstown-Warren-Boardman, OH-PA;23;;14;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Yuba City, CA;12;;7;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;United States of America;Yuma, AZ;14;;9;2012;NA;NA;US EPA Particulate Matter National Trends, US EPA, 2013.;;;TRUE;FALSE;2012;2014
AmrHI;Uruguay;Montevideo;27;2012;18;2012;2 stations for PM10, 1 station for PM2.5;NA;Informe de calidad del aire, Año 2012. Informe annual. Servicio Evaluación de la Calidad y Control Ambiental. Intendencia de Montevideo.;;;FALSE;FALSE;2012;2014
Emr;Afghanistan;Kabul - ISAF HQ;260;2009;86;2009;1 station: urban;14 days;"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012";;;FALSE;FALSE;2009;2014
Emr;Afghanistan;Mazar-e Sharif - Camp Northern Lights ;334;2009;68;2009;1 station: urban outskirts;14 days;"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012";;;FALSE;FALSE;2009;2014
Emr;Egypt;Cairo;135;2011;73;;48 stations (8 industrial, 9 urban, 5 residential, 10 traffic, 4 remote, 12 mixed); ;State of the Environment Report 2011 in Arabic;;;FALSE;TRUE;2011;2014
Emr;Egypt;Delta cities;140;2011;76;;13 stations (4 industrial, 4 urban, 2 residential, 1 remote, 2 mixed); ;State of the Environment Report 2011 in Arabic;;;FALSE;TRUE;2011;2014
Emr;Iran;Ahvaz;320;2010;70;2010;1 station (residential);6 months;"Shahsavani et al., The evaluation of PM10, PM2.5, and PM1 concentrations during the Middle Eastern
Dust (MED) events in Ahvaz, Iran, from april through september 2010, Journal of Arid Environments 77 (2012)";31200N,;48400E;FALSE;FALSE;2010;2014
Emr;Iran;Khoramabad;121;2010;102;2010;8 stations, covering the metropolis area;11 months;"Mirhosseini et al., Analysis of Particulate matter (PM10 and PM2.5)
concentration in the City of Khoramabad,2nd International Conference on Chemical, Ecology and Environmental Sciences (ICCEES'2012) Singapore April 28-29, 2012";;;FALSE;FALSE;2010;2014
Emr;Iran;Tehran;91;2010;30;;7 stations with valid data: no information given about sites;12 months;"Naddafi et al., Health impact assessment of air pollution in
megacity of Tehran, Iran, Naddafi et al. Iranian Journal of Environmental Health Sciences & Engineering 2012, 9:28";;;FALSE;TRUE;2010;2014
Emr;Jordan;Amman;128;2010;48;;4 stations: 2 high and 2 low pollution areas;54 days;"Alnawaiseh et al., Relationship Between Vehicle
Count and Particulate Air
Pollution in Amman, Jordan";;;FALSE;TRUE;2010;2014
Emr;Lebanon;Beirut;63;2010;20;2010;3 stations in 1 city;1 year, sampled every 6th day;R. Massoud et al., Atmospheric Research 101 (2011), 893-901;;;FALSE;FALSE;2010;2014
Emr;Lebanon;Tripoli;81;2008;29;2008;01/2008-06/2008 (6 months);; Tripoli Environment and Development Observatory (TEDO) ;;;FALSE;FALSE;2008;2014
Emr;Pakistan;Karachi ;273;2010;117;2010;3 stations in various location: 1 unknown, 1 industrial/residential, 1 commercial/residential;2 months;Alam K, et al. Aerosol size distribution and mass concentration measurements in various cities of Pakistan, J. Environ. Monit., 2011, 13, 1944;;;FALSE;FALSE;2010;2014
Emr;Pakistan;Lahore - Johar Town;198;2010;68;2010;1 station: residential;2 months;Alam K, et al. Aerosol size distribution and mass concentration measurements in various cities of Pakistan, J. Environ. Monit., 2011, 13, 1944;;;FALSE;FALSE;2010;2014
Emr;Pakistan;Peshwar;540;2010;111;2010;1 station: NA;2 months;;;;FALSE;FALSE;2010;2014
Emr;Pakistan;Rawalpindi;448;2010;107;2010;1 station: residential;2 months;;;;FALSE;FALSE;2010;2014
EmrHI;Bahrain;Hamad Town;318;2012;66;2012;1 Residential urban station;86%;Supreme Council of Environment, 2013.;N 26 05.031;E 50 30.588;FALSE;FALSE;2012;2014
EmrHI;Bahrain;Hidd;178;2012;41;2012;1 Residential urban station;99%;Supreme Council of Environment, 2013.;N 26 14.109;E 50 39.569;FALSE;FALSE;2012;2014
EmrHI;Bahrain;Ma'ameer;257;2012;64;2012;1 Residential Industrial station (Mixed);96%;Supreme Council of Environment, 2013.;N 26 08.162;E 50 36.376;FALSE;FALSE;2012;2014
EmrHI;Bahrain;Nabih Saleh;244;2012;58;2012;1 Urban background station;93%;Supreme Council of Environment, 2013.;N 26 11.359;E 50 35.057;FALSE;FALSE;2012;2014
EmrHI;Bahrain;Ras Hayan;250;2012;44;2012;1 Rural background station;100%;Supreme Council of Environment, 2013.;N 26 02.395;E 50 37.494;FALSE;FALSE;2012;2014
EmrHI;Oman;Muscat;82;2008-2010;31;;4 stations in 1 city: 1 commercial, 2 industrial, 1 unknown;100%;Ministry of Environment and Climate Change;;;FALSE;TRUE;2008-2010;2014
EmrHI;Qatar;Al Wakrah;152;2012;85;2012;Mobile Station;66%;International Health Relations/ Supreme Council for Health;;;FALSE;FALSE;2012;2014
EmrHI;Qatar;Doha;168;2012;93;2012;3 stations;93%;International Health Relations/ Supreme Council for Health;;;FALSE;FALSE;2012;2014
EmrHI;Saudi Arabia;Jeddah;87;2011;28;2011;7 stations: 3 residential, 3 urban and 1 suburban;about 12 days;Khoedir M, Source apportionment and elemental composition of PM2.5 and PM10 in Jeddah City, Saudi Arabia, Atmospheric Pollution Research 3 (2012) 331‐340;;;FALSE;FALSE;2011;2014
EmrHI;United Arab Emirates;Abu Dhabi;170;2011;64;;2 stations: 2 urban/residential;Calcuated annual mean;Environmental Statistics 2011, SCAD;;;FALSE;TRUE;2011;2014
